Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Enter your data into the blue blocks.,,,,,,,,,,,,,,,,,,,
Primary Name:,,Delta Pavonis,,,Spectral Class,G8V,Temperature,6000,,,,,,,,,,,
Colony Name,,Altiplano,,,Colony Founding Date:,2152-05-11 00:00:00,Small Flare,1000000000000000013287555072,Joules,254134.61775002215,Rads/pulse @ orbital dist,,,,,,,,
,,,,,,,Big 4B Flare,1000000000000000019884624838656,Joules,254134617.75002217,Rads/pulse @ orbital dist,,,,,,,,
Primary Mass,,,1.18,2348199999999999920535991484416,kg,,,,,,,,,,,,,,
Mean Orbital Distance (AU's):,,,1.18,Secondary Luminosity,,0,,,,,,,,,,,,,
Stellar Luminosity (Bolometric),,,1.47,Secondary Apastron Distance.,,1,Add'l Instellation,,0,1.083948,,,,,,,,,
Stellar Diameter (km),,,1620682.8273935444,Secondary Periastron Distance.,,1,Add'l Instellation,,0,,,,,,,,,,
Orbital Eccentricity,,,0.0814,Average Instellation,,1.0582609755270191,Intellation at Periastron,,1.251124238639799,Instellation at Apoastron,,0.9027772153694088,,,,,,,
Surf magnetic field (uT) avg photosphere,,,220,Sol=0.52 deg,Apparent Size,0.5246617288680796,Degrees,Apparent Size,0.5635361733700472,Degrees,Apparent Size,0.4908045346950483,Degrees,,1.2760519999999997,,,,
,,,1.3923999999999999,1.18,,,,,,,,,,,,,,,
Length of Local Year in Earth Years:,,,,1.18,,,,,,,,,,,,,,,
Blackbody Temp (K),258.7436025392294,degrees Kelvin,,1.18,As a % of Earth's Year,,,,,,,,,,,,,,
Surf Temp,298.5791474929384,degrees Kelvin,,430.99382,# of Earth Days in Local Year,,,,,,,,,,,,,,
,25.429147492938398,degrees Celcius,,or,,23.85168000000067,,51.10080000004018,,6.048000002410845,,,,,,,,,
,77.77246548728911,degrees Farenheit,,430,days,23,hours,51,minutes,6.048000002410845,seconds,,,,,,,,
Albedo:,0.34,,,,,,,,,,,,,,,,,,
Local Day:,27,hours,,378.85326274023055,Local days in Local Year,,,,,,,,,,,,,,
,18,minutes,,or,,23.038093986224794,,2.2856391734876524,,17.138350409259147,,,,,,,,,
,11,seconds,,378,days,23,hours,2,minutes,17.138350409259147,seconds,,,,,,,,
# Moons:,0,,,,,,,,,,,,,,,,,,
Solar Storm intensity,11,"1= calm, 10 = intense, ",,98291,seconds/day ,1.1376273148148148,Earth Days,1.0030118618561645,Siderial Days,,,,,,,,,,
Radiation:,164093.91820031113,millirads/Eday,84 mya,37237866.048,seconds/year,0.8763829500511533,,0.2,(Earth = 1),,,,,,,,,,
Tectonics,hotspot,,,15,Weeks from the planet to the hyperspace terminus,,,2,# of poles of magnetic field,,,,,,,,,,
# inferior Planets,,2,,,,,,1.556,Mag field strngth at radius of 10000 km (uT),,,,,,,,,,
Mean Planetary Density (g/cm3):,,,,5.102,,,,,,,,,,,,,,,
Planetary Diameter (km):,,,,10883,,5441.5,radius in km,4.6654050203154265,Land Horizon (km),10.432166601604383,Nautical Horizon (km),,,,,,,,
Axial Tilt Excursion,,11.502376747071965,Axial Tilt,29.4,degrees,,,790.8197516373804,km Lithosphere thickness,,,,,,,,,,
Mean Atmospheric Pressure,,,,0.64,atmosphere,64832,Pa,73.38492648073354,km Mesophere (Mesopause ht),,,,,,,,,,
Comp,O2 %,0.1891,,13.122651783881171,Max Mtn (km),12259.7312,Pa,40.76940360040752,km Stratosphere (Stratopause ht),,,,,,,,,,
,N2 %,0.78125,,9594.085864060591,Roche Lmt (km),50650,Pa,14.676985296146707,km Tropopause,,,,,,,,,,
,CO2 %,0.000945,,12,hexes/edge,61.266239999999996,Pa,11.415433008114107,km Troposphere,,,,,,,,,,
,Ne %,0.01195,,1442,Total Hexes,774.7424000000001,Pa,2338.606223566662,km Proton Van Allen,,267733.0276123051,belt radiation (rads/Eday),,,,,,,
,Ar %,0.00051,,764.26,Ocean Hexes,33.06432,Pa,3507.802538896876,km Interstellar Nuclei Van Allen,,301131.6821667053,belt radiation (rads/Eday),,,,,,,
,Other %,0.016244999999999954,,677.74,Land Hexes,1053.195839999997,Pa,9353.937733427183,km Electron Van Allen,,122435666.09490547,belt radiation (millirads/Eday),,,,,,,
,cloud cover,0.55,,,,,,33591.011542181295,km Magnetopause,,3460801.738436449,space radiation (millirads/Eday),,,,,,,
Planetary Surface Gravity:,,,,0.7849023329760001,of Earth's Gravity,,,7.665061845468751,meters per sec per sec,,,,,,,,,,
Planetary Mass:,,,,3441634443842941727277056,kg,,,0.5759093781531026,% of Earth's Mass,,,,,,,,,,
Planetary Surface Area:,,,,371900623.46000004,sqkm,,,0.7278941637140292,% of Earth's Surface Area,,,,,,,,,,
Hydrosphere %,,0.53,,174793293.0262,sqkm land,197107330.43380004,sqkm water,1.4145708650106221,% of Earth's Land Area,,,,,,,,,,
,,,,83418868.06423642,,,,,,,,,,,,,,,
