Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Enter your data into the blue blocks.,,,,,,,,,,,,,,,,,,,
Primary Name:,,Gamma Leporis,,,Spectral Class,F6V,Temperature,6450,,,,,,,,,,,
Colony Name,,Concord,,,Colony Founding Date:,2194-06-17 00:00:00,Small Flare,9999999999999999583119736832,Joules,1399695.5886046076,Rads/pulse @ orbital dist,,,,,,,,
,,,,,,,Big Flare,9999999999999999635896294965248,Joules,1399695588.6046078,Rads/pulse @ orbital dist,,,,,,,,
Primary Mass,,,1.2,2387999999999999938272193150976,kg,,,,,,,,,,,,,,
Mean Orbital Distance (AU's):,,,1.59,Secondary Luminosity,,0,,,,,,,,,,,,,
Stellar Luminosity (Bolometric),,,2.41,Secondary Apastron Distance.,,1,Add'l Instellation,,0,1.452624,,,,,,,,,
Stellar Diameter (km),,,1930364.9351382058,Secondary Periastron Distance.,,1,Add'l Instellation,,0,,,,,,,,,,
Orbital Eccentricity,,,0.0864,Average Instellation,,0.956186709627488,Intellation at Periastron,,1.1421170426857095,Instellation at Apoastron,,0.807687348227796,,,,,,,
Surf magnetic field (uT) avg photosphere,,,220,Sol=0.52 deg,Apparent Size,0.4637732108319463,Degrees,Apparent Size,0.4904225892676207,Degrees,Apparent Size,0.4398707976752533,Degrees,,1.7273760000000002,,,,
,,,3.349732500000001,1.830227444882193,,,,,,,,,,,,,,,
Length of Local Year in Earth Years:,,,,1.830227444882193,,,,,,,,,,,,,,,
Blackbody Temp (K),229.28275374369366,degrees Kelvin,,1.830227444882193,As a % of Earth's Year,,,,,,,,,,,,,,
Surf Temp,294.01685725650304,degrees Kelvin,,668.4887440157761,# of Earth Days in Local Year,,,,,,,,,,,,,,
,20.866857256503067,degrees Celcius,,or,,11.72985637862621,,43.79138271757256,,47.482963054353604,,,,,,,,,
,69.56034306170552,degrees Farenheit,,668,days,11,hours,43,minutes,47.482963054353604,seconds,,,,,,,,
Albedo:,0.61,,,,,,,,,,,,,,,,,,
Local Day:,19,hours,,839.5218971912418,Local days in Local Year,,,,,,,,,,,,,,
,6,minutes,,or,,9.916046633594306,,54.962798015658336,,57.767880939500174,,,,,,,,,
,38,seconds,,839,days,9,hours,54,minutes,57.767880939500174,seconds,,,,,,,,
# Moons:,1,,,,,,,,,,,,,,,,,,
Solar Storm intensity,11,"1= calm, 10 = intense, ",,68798,seconds/day ,0.7962731481481482,Earth Days,1.000949384548799,Siderial Days,,,,,,,,,,
Radiation:,5421.8771887040375,millirads/Eday,,57757427.482963055,seconds/year,1.2546593066095066,,0.85,(Earth = 1),,,,,,,,,,
Tectonics,active,,,27,Weeks from the planet to the hyperspace terminus,,,2,# of poles of magnetic field,,,,,,,,,,
# inferior Planets,,3,,,,,,6.613,Mag field strngth at radius of 10000 km (uT),,,,,,,,,,
Mean Planetary Density (g/cm3):,,,,4.94,,,,,,,,,,,,,,,
Planetary Diameter (km):,,,,14722,,7361,radius in km,5.426232948066626,Land Horizon (km),12.133429028947287,Nautical Horizon (km),,,,,,,,
Axial Tilt Excursion,,3.5721645128316455,Axial Tilt,35.8,degrees,,,57.432056268806505,km Lithosphere thickness,,,,,,,,,,
Mean Atmospheric Pressure,,,,1.49,atmosphere,150937,Pa,130.4393058647231,km Mesophere (Mesopause ht),,,,,,,,,,
