Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Enter your data into the blue blocks.,,,,,,,,,,,,,,,,,,,
Primary Name:,,Beta Canum Venaticorum,,,Spectral Class,G0V,Temperature,6000,,,,,,,,,,,
Colony Name,,Damso,,,Colony Founding Date:,2173-11-11 00:00:00,Small Flare,9999999999999999635896294965248,Joules,361192868.9229561,Rads/pulse @ orbital dist,,,,,,,,
,,,,,,,Big 4B Flare,9999999999999999455752309870428160,Joules,361192868922.9561,Rads/pulse @ orbital dist,,,,,,,,
Primary Mass,,,1.08,2149200000000000113329959862272,kg,,,,,,,,,,,,,,
Mean Orbital Distance (AU's):,,,3.13,Secondary Luminosity,,0,,,,,,,,,,,,,
Stellar Luminosity (Bolometric),,,1.21,Secondary Apastron Distance.,,1,Add'l Instellation,,0,2.9857069999999997,,,,,,,,,
Stellar Diameter (km),,,1470388.3333333335,Secondary Periastron Distance.,,1,Add'l Instellation,,0,,,,,,,,,,
Orbital Eccentricity,,,0.0461,Average Instellation,,0.1241926411037383,Intellation at Periastron,,0.13573473445881248,Instellation at Apoastron,,0.1128626624225619,,,,,,,
Surf magnetic field (uT) avg photosphere,,,290,Sol=0.52 deg,Apparent Size,0.17945314483493077,Degrees,Apparent Size,0.18213571884086172,Degrees,Apparent Size,0.1768484441086028,Degrees,,3.274293,,,,
,,,28.392867592592587,5.328495809568831,,,,,,,,,,,,,,,
Length of Local Year in Earth Years:,,,,5.328495809568831,,,,,,,,,,,,,,,
Blackbody Temp (K),94.41032235901942,degrees Kelvin,,5.328495809568831,As a % of Earth's Year,,,,,,,,,,,,,,
Surf Temp,290.45379062360496,degrees Kelvin,,1946.227765949206,# of Earth Days in Local Year,,,,,,,,,,,,,,
,17.303790623604982,degrees Celcius,,or,,5.466382780945423,,27.982966856725398,,58.97801140352385,,,,,,,,,
,63.14682312248897,degrees Fahrenheit,,1946,days,5,hours,27,minutes,58.97801140352385,seconds,,,,,,,,
Albedo:,0.9,,,,,,,,,,,,,,,,,,
Local Day:,8,hours,,5618.808399706331,Local days in Local Year,,,,,,,,,,,,,,
,18,minutes,,or,,6.467197650650633,,28.031859039037954,,1.9115423422772437,,,,,,,,,
,47,seconds,,5618,days,6,hours,28,minutes,1.9115423422772437,seconds,,,,,,,,
# Moons:,2,,,,,,,,,,,,,,,,,,
Solar Storm intensity,11,"1= calm, 10 = intense, ",unkwn,29927.000000000004,seconds/day ,0.3463773148148149,Earth Days,1.0000616498453552,Siderial Days,,,,,,,,,,
Radiation:,7.467539879824072,millirads/Eday,,168154078.9780114,seconds/year,2.8868471207178077,,2.8,(Earth = 1),,,,,,,,,,
Tectonics,very active,,,37,Weeks from the planet to the hyperspace terminus,,,2,# of poles of magnetic field,,,,,,,,,,
# inferior Planets,,4,,,,,,21.784,Mag field strngth at radius of 10000 km (uT),,,,,,,,,,
Mean Planetary Density (g/cm3):,,,,6.11,,,,,,,,,,,,,,,
Planetary Diameter (km):,,,,13563,,6781.5,radius in km,5.208263050479338,Land Horizon (km),11.646033659764813,Nautical Horizon (km),,,,,,,,
Axial Tilt Excursion,,2.748335763894056,Axial Tilt,33.1,degrees,,,63.49083615549524,km Lithosphere thickness,,,,,,,,,,
Mean Atmospheric Pressure,,,,5.4,atmosphere,547020,Pa,414.8706967981808,km Mesophere (Mesopause ht),,,,,,,,,,
Comp,O2 %,0.061,  ,8.792527113212476,Max Mtn (km),33368.22,Pa,230.48372044343378,km Stratosphere (Stratopause ht),,,,,,,,,,
,N2 %,0.255,,13105.38384724244,Roche Lmt (km),139490.1,Pa,82.97413935963617,km Tropopause,,,,,,,,,,
,CO2 %,0.049,,15,hexes/edge,26803.98,Pa,64.53544172416146,km Troposphere,,,,,,,,,,
,He %,0.618,,2252,Total Hexes,338058.36,Pa,5636.368740445645,km Proton Van Allen,,4055083826222.416,belt radiation (rads/Eday),,,,,,,
,Ne %,0.017,,788.1999999999999,Ocean Hexes,9299.34,Pa,8454.295716249573,km Interstellar Nuclei Van Allen,,21026299711730.043,belt radiation (rads/Eday),,,,,,,
,Other %,0,,1463.8000000000002,Land Hexes,0,Pa,22544.300835886796,km Electron Van Allen,,70938797796.03818,belt radiation (millirads/Eday),,,,,,,
