Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Enter your data into the blue blocks.,,,,,,,,,,,,,,,,,,,
Primary Name:,,Sol,,,Spectral Class,G2V,Temperature,5770,,,,,,,,,,,
Colony Name,,Earth,,,Year 0 Date,1/1/0001,Small Flare,10000000000000000000000,Joules,3.53857041755131,Rads/pulse @ orbital dist,,,,,,,,
Solar constant,,,1383,watts/meter squared,,,Big 4B Flare,10000000000000000905969664,Joules,3538.57041755131,Rads/pulse @ orbital dist,,,,,,,,
Primary Mass,,,1,1990000000000000042385153196032,kg,,,,,,,,,,,,,,
Mean Orbital Distance (AU's):,,,1,Secondary Luminosity,,0,,,,,,,,,,,,,
Stellar Luminosity (Bolometric),,,1,Secondary Apastron Distance.,,1,Add'l Instellation,,0,0.9821,,,,,,,,,
Stellar Diameter (km),,,1390000,Secondary Periastron Distance.,,1,Add'l Instellation,,0,,,,,,,,,,
Orbital Eccentricity,,,0.0179,Average Instellation,,1.0000776645762286,Intellation at Periastron,,1.0367846959298663,Instellation at Apoastron,,0.9651387911565219,,,,,,,
1.6252657309470098,94.87252569964733,surf magnetic field (uT),150,Sol=0.52 deg,Apparent Size,0.53098,Degrees,Apparent Size,0.5406577741574178,Degrees,Apparent Size,0.5216425975046665,Degrees,,1.0179,,,,
0.9825306058283716,100,10,1,1,,,,,,,,,,,,,,,
Length of Local Year in Earth Years:,,,,1,,,,,,,,,,,,,,,
Blackbody Temp (K),245.4370073272841,degrees Kelvin,,1,As a % of Earth's Year,,,,,,,,,,,,,,
Surf Temp,293.66285942435167,degrees Kelvin,,365.249,# of Earth Days in Local Year,,,,,,,,,,,,,,
,20.51285942435169,degrees Celcius,,or,,5.9760000000005675,,58.56000000003405,,33.60000000204309,,,,,,,,,
,68.92314696383303,degrees Farenheit,,365,days,5,hours,58,minutes,33.60000000204309,seconds,,,,,,,,
Albedo:,0.39,,,,,,,,,,,,,,,,,,
Local Day:,24,hours,,365.249,Local days in Local Year,,,,,,,,,,,,,,
,0,minutes,,or,,5.9760000000005675,,58.56000000003405,,33.60000000204309,,,,,,,,,
,0,seconds,,365,days,5,hours,58,minutes,33.60000000204309,seconds,,,,,,,,
# Moons:,1,,,,,,,,,,,,,,,,,,
Solar Storm intensity,1,"1= calm, 10 = intense, ",,86400,seconds/day ,1,Earth Days,1.0027453747299238,Siderial Days,,,,,,,,,,
Radiation:,1.768261316872428,millirads/Eday,,31557513.6,seconds/year,0.9972621417170204,Mag Field:,1,(Earth = 1),,,,,,,,,,
Tectonics,0,,,7,Weeks from the planet to the hyperspace terminus,,,2,# of poles of magnetic field,,,,,,,,,,
# inferior Planets,,2,,,,,,7.78,Mag field strngth at radius of 10000 km (uT),,,,,,,,,,
Mean Planetary Density (g/cm3):,,,,5.52,,,,,,,,,,,,,,,
Planetary Diameter (km):,,,,12754,,6377,radius in km,5.050544921320182,Land Horizon (km),11.293365308923585,Nautical Horizon (km),,,,,,,,
Axial Tilt Excursion,,1.872688581277933,Axial Tilt,24.2,degrees,,,149.7619844401373,km Lithosphere thickness,,,,,,,,,,
Mean Atmospheric Pressure,,,,1,atmosphere,101300,Pa,90.43373803390907,km Mesophere (Mesopause ht),,,,,,,,,,
Comp,O2 %,0.2095,,10.349638908325149,Max Mtn (km),21222.35,Pa,50.240965574393925,km Stratosphere (Stratopause ht),,,,,,,,,,
,N2 %,0.7808,,11707.382507731254,Roche Lmt (km),79095.04000000001,Pa,18.086747606781813,km Tropopause,,,,,,,,,,
,CO2 %,0.000364,,14,hexes/edge,36.873200000000004,Pa,14.0674703608303,km Troposphere,,,,,,,,,,
,Ne %,1.8e-05,,1962,Total Hexes,1.8234000000000001,Pa,3998.9582456885087,km Proton Van Allen,,19241.95367631823,belt radiation (rads/Eday),,,,,,,
,Ar %,0.0093,,1491.1200000000001,Ocean Hexes,942.0899999999999,Pa,5998.254749264704,km Interstellar Nuclei Van Allen,,34635.516617372814,belt radiation (rads/Eday),,,,,,,
,Other %,1.799999999996249e-05,,470.8799999999999,Land Hexes,1.8233999999962003,Pa,15994.999949883264,km Electron Van Allen,,384839.0735263646,belt radiation (millirads/Eday),,,,,,,
,cloud cover,0.47,,,,,,76913.29692540898,km Magnetopause,,100,space radiation (millirads/Eday),,,,,,,
