Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Enter your data into the blue blocks.,,,,,,,,,,,,,,,,,,,
Primary Name:,,Eta Boötis Gas Giant,,,Spectral Class,G0IV,Temp (gas giant),2000.0,,,,,,,,,,,
Colony Name,,Galt's World,,,Colony Founding Date:,2199-08-04 00:00:00,Temp (star),6000.0,,,,,,,,,,,
Surf magnetic field (uT) avg photosphere,,,170,,,,Small Flare,1e+24,Joules,13822540693559802,Rads/pulse @ orbital dist,,,,,,,,
Primary Mass,,,0.012,23880000000000001845627977728,kg,,Big Flare,1e+27,Joules,13822540693559801856,Rads/pulse @ orbital dist,,,,,,,,
Mean Orbital Distance (AU's):,,,0.01264,Secondary Luminosity,1.02,2.21,,,,,,,,,,,,,
Primary Luminosity (Bolometric),,,1.6e-07,Secondary Apastron Distance.,4.06,1.42,Add'l Instellation,,1.0960126958936718,0.009680976,,,,,,,,,
Primary Diameter (km),,,190000,Secondary Periastron Distance.,9.56,1.64,Add'l Instellation,,0.8216835217132661,,,,,,,,,,
Orbital Eccentricity,,,0.2341,Average Instellation,0.11,0.9885761528634435,Intellation at Periastron,,1.0977198852550563,Instellation at Apoastron,,0.8223410661839754,,,,,,,
Visible Size of Gas Giant,,,,Sol=0.52 deg,Apparent Size,5.742088607594937,,,,,,,,,0.015599024,,,,
Visible Size of Star,,,,,Apparent Size,0.6763147792941111,Degrees,0.0,0.7478480732579115,Degrees,Apparent Size,0.6172714255462125,Degrees,,,,,,
Length of Local Year in Earth Years:,,,,0.012972688438921723,0.00016829064533333332,0.012972688438921723,,,,,,,,,,,,,
Blackbody Temp (K),249.14882410602308,degrees Kelvin,,0.012972688438921723,As a % of Earth's Year,,,,,,,,,,,,,,
Surf Temp,56354.061744509825,degrees Kelvin,,4.738261479627721,# of Earth Days in Local Year,,,,,,,,,,,,,,
,56080.91174450982,degrees Celcius,,or,,17.718275511065308,,43.09653066391846,,5.791839835107453,,,,,,,,,
,100977.64114011769,degrees Farenheit,,4,days,17,hours,43.0,minutes,5.791839835107453,seconds,,,,,,,,
Albedo:,0.5,,,,,,,,,,,,,,,,,,
Local Day:,75,hours,,1.5022008771331519,Local days in Local Year,,,,,,,,,,,,,,
,42,minutes,,or,,37.66506578498639,,39.90394709918334,,54.23682595100047,,,,,,,,,
,4,seconds,,1,days,37,hours,39.0,minutes,54.23682595100047,seconds,,,,,,,,
# Moons:,1,,,,,,,,,,,,,,,,,,
