Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Enter your data into the blue blocks.,,,,,,,,,,,,,,,,,,,
Primary Name:,,Sigma Draconis,,,Spectral Class,K0V,Temperature,5200,,,,,,,,,,,
Colony Name,,Medina,,,Colony Founding Date:,2167-05-27 00:00:00,Small Flare,1000000000000000000,Joules,0.0007693292976836853,Rads/pulse @ orbital dist,,,,,,,,
,,,,,,,Big 4B Flare,1000000000000000000000,Joules,0.7693292976836854,Rads/pulse @ orbital dist,,,,,,,,
Primary Mass,,,0.82,1631799999999999882759338196992,kg,,,,,,,,,,,,,,
Mean Orbital Distance (AU's):,,,0.6782,Secondary Luminosity,,0,,,,,,,,,,,,,
Stellar Luminosity (Bolometric),,,0.46,Secondary Apastron Distance.,,1,Add'l Instellation,,0,0.6368298000000001,,,,,,,,,
Stellar Diameter (km),,,1046083.099301146,Secondary Periastron Distance.,,1,Add'l Instellation,,0,,,,,,,,,,
Orbital Eccentricity,,,0.061,Average Instellation,,1.0014002394437003,Intellation at Periastron,,1.1342559764561388,Instellation at Apoastron,,0.8884060205120842,,,,,,,
Surf magnetic field (uT) avg photosphere,,,120,Sol=0.52 deg,Apparent Size,0.5892122440770241,Degrees,Apparent Size,0.647446117843548,Degrees,Apparent Size,0.5405894804288931,Degrees,,0.7195701999999999,,,,
,,,0.3804166387414635,0.6167792463608543,,,,,,,,,,,,,,,
Length of Local Year in Earth Years:,,,,0.6167792463608543,,,,,,,,,,,,,,,
Blackbody Temp (K),242.01735247614252,degrees Kelvin,,0.6167792463608543,As a % of Earth's Year,,,,,,,,,,,,,,
Surf Temp,294.6721011180137,degrees Kelvin,,225.2780029540557,# of Earth Days in Local Year,,,,,,,,,,,,,,
,21.522101118013722,degrees Celcius,,or,,6.672070897336653,,40.32425384019916,,19.455230411949742,,,,,,,,,
,70.7397820124247,degrees Farenheit,,225,days,6,hours,40,minutes,19.455230411949742,seconds,,,,,,,,
Albedo:,0.29,,,,,,,,,,,,,,,,,,
Local Day:,22,hours,,237.4442737880816,Local days in Local Year,,,,,,,,,,,,,,
,46,minutes,,or,,9.774023337795256,,46.44140026771538,,26.48401606292282,,,,,,,,,
,13,seconds,,237,days,9,hours,46,minutes,26.48401606292282,seconds,,,,,,,,
# Moons:,1,,,,,,,,,,,,,,,,,,
Solar Storm intensity,11,"1= calm, 10 = intense, ",1 mya,81973,seconds/day ,0.948761574074074,Earth Days,1.0040117529723587,Siderial Days,,,,,,,,,,
Radiation:,7256.661978338782,millirads/Eday,,19464019.455230415,seconds/year,1.0497940727139685,,2,(Earth = 1),,,,,,,,,,
Tectonics,active,,,4,Weeks from the planet to the hyperspace terminus,,,2,# of poles of magnetic field,,,,,,,,,,
# inferior Planets,,1,,,,,,15.56,Mag field strngth at radius of 10000 km (uT),,,,,,,,,,
Mean Planetary Density (g/cm3):,,,,5.31,,,,,,,,,,,,,,,
Planetary Diameter (km):,,,,11754,,5877,radius in km,4.848505336933546,Land Horizon (km),10.841591211662553,Nautical Horizon (km),,,,,,,,
Axial Tilt Excursion,,0.10651419107459256,Axial Tilt,22.3,degrees,,,350.8179387481004,km Lithosphere thickness,,,,,,,,,,
Mean Atmospheric Pressure,,,,1.01,atmosphere,102313,Pa,103.02844361449789,km Mesophere (Mesopause ht),,,,,,,,,,
Comp,O2 %,0.23941,,11.674290090531667,Max Mtn (km),24494.75533,Pa,57.23802423027661,km Stratosphere (Stratopause ht),,,,,,,,,,
,N2 %,0.74625,,10577.483495045974,Roche Lmt (km),76351.07625,Pa,20.60568872289958,km Tropopause,,,,,,,,,,
,CO2 %,0.000271,,13,hexes/edge,27.726822999999996,Pa,16.02664678447745,km Troposphere,,,,,,,,,,
,Ne %,0.001586,,1692,Total Hexes,162.268418,Pa,5038.370507282721,km Proton Van Allen,,806751342809.4421,belt radiation (rads/Eday),,,,,,,
,Ar %,0.00614,,1201.32,Ocean Hexes,628.20182,Pa,7557.3256751172985,km Interstellar Nuclei Van Allen,,2613874350702.5923,belt radiation (rads/Eday),,,,,,,
,Other %,0.0063429999999999875,,490.68000000000006,Land Hexes,648.9713589999988,Pa,20152.43247372428,km Electron Van Allen,,322700537123.77686,belt radiation (millirads/Eday),,,,,,,
,cloud cover,0.47,,,,,,189870.11749136104,km Magnetopause,,7522642.529762279,space radiation (millirads/Eday),,,,,,,
Planetary Surface Gravity:,,,,0.88228062864,of Earth's Gravity,,,8.6160217640625,meters per sec per sec,,,,,,,,,,
Planetary Mass:,,,,4512632614739950002241536,kg,,,0.7551259395481843,% of Earth's Mass,,,,,,,,,,
Planetary Surface Area:,,,,433811460.24,sqkm,,,0.8490677620359497,% of Earth's Surface Area,,,,,,,,,,
Hydrosphere %,,0.71,,125805323.46960002,sqkm land,308006136.7704,sqkm water,1.0181199871133413,% of Earth's Land Area,,,,,,,,,,
,,,,101272719.81479062,,,,,,,,,,,,,,,
Escape Velocity:,,,,10.06343479209711,km/sec,Orbital Velocity in Hexes/hour,,43.160949267896406,(1.5 is airliner speed),,,,,,,,,,
500 km Orbit Velocity,,,,6.89472033033489,km/sec,Optimum DV to Orbit,,7.608179157066448,km/sec,,,,,,,,,,
Equatorial Rotational Velocity,,,,0.4504684330206287,km/sec,Add'l Energy Lost for Drag,,1.1596423709054042,km/sec,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Number of Tethers,,0,,38504.88704446189,Geostationary Orbit Height (km),,Delta-v (LO to moon),,2.2727459685461966,km/sec,4.132265397356721,hexes (0.55 kips orbitals) (to and from highest orbit),,,,,,,
Launch Site Lat.,,8,degrees,0.44608450519637943,,,Moon Slingshot (orbitals/slingshot),,0.15294914367346937,,,,,,,,,,
,,,,85.59519262247123,Orbital Energy Units,1,Moon avg dist from planet (km),,58245,,,,,,,,,,
Cost to Orbit in dollars per tonne,,,,5135.711557348274,Lasers,60,Mean Moon Density (g/cm3):,,1.5,,,,,,,,,,
