Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Enter your data into the blue blocks.,,,,,,,,,,,,,,,,,,,
Primary Name:,,Alpha Mensae,,,Spectral Class,G5V,Temperature,5600,,,,,,,,,,,
Colony Name,,Novaya Rossiya/Nuevo Brasillia,,,Colony Founding Date:,2175-02-15 00:00:00,Small Flare,99999999999999991611392,Joules,39.20853648256297,Rads/pulse @ orbital dist,,,,,,,,
,,,,,,,Big 4B Flare,99999999999999987584860160,Joules,39208.53648256297,Rads/pulse @ orbital dist,,,,,,,,
Primary Mass,,,0.94,1870599999999999989176548196352,kg,,,,,,,,,,,,,,
Mean Orbital Distance (AU's):,,,0.95,Secondary Luminosity,,0,,,,,,,,,,,,,
Stellar Luminosity (Bolometric),,,0.87,Secondary Apastron Distance.,,1,Add'l Instellation,,0,0.92967,,,,,,,,,
Stellar Diameter (km),,,1335863.8967765751,Secondary Periastron Distance.,,1,Add'l Instellation,,0,,,,,,,,,,
Orbital Eccentricity,,,0.0214,Average Instellation,,0.964106034711168,Intellation at Periastron,,1.006610877716288,Instellation at Apoastron,,0.9240177948583205,,,,,,,
Surf magnetic field (uT) avg photosphere,,,180,Sol=0.52 deg,Apparent Size,0.5371579037564754,Degrees,Apparent Size,0.5495369465525002,Degrees,Apparent Size,0.5253242830642904,Degrees,,0.97033,,,,
,,,0.9121010638297872,0.955039823164347,,,,,,,,,,,,,,,
Length of Local Year in Earth Years:,,,,0.955039823164347,,,,,,,,,,,,,,,
Blackbody Temp (K),247.08363290841382,degrees Kelvin,,0.955039823164347,As a % of Earth's Year,,,,,,,,,,,,,,
Surf Temp,304.597617877615,degrees Kelvin,,348.8273403709546,# of Earth Days in Local Year,,,,,,,,,,,,,,
,31.447617877615016,degrees Celcius,,or,,19.856168902909758,,51.37013417458547,,22.208050475128402,,,,,,,,,
,88.60571217970703,degrees Farenheit,,348,days,19,hours,51,minutes,22.208050475128402,seconds,,,,,,,,
Albedo:,0.31,,,,,,,,,,,,,,,,,,
Local Day:,17,hours,,491.00195835995044,Local days in Local Year,,,,,,,,,,,,,,
,3,minutes,,or,,0.033292119157408706,,1.9975271494445224,,59.85162896667134,,,,,,,,,
,2,seconds,,491,days,0,hours,1,minutes,59.85162896667134,seconds,,,,,,,,
# Moons:,3,ring,,,,,,,,,,,,,,,,,
Solar Storm intensity,11,"1= calm, 10 = intense, ",2 mya,61381.99999999999,seconds/day ,0.7104398148148148,Earth Days,1.0014490151021234,Siderial Days,,,,,,,,,,
Radiation:,7026.442419071321,millirads/Eday,,30138682.208050475,seconds/year,1.4055421172656457,,1.5,(Earth = 1),,,,,,,,,,
Tectonics,active,,,10,Weeks from the planet to the hyperspace terminus,,,2,# of poles of magnetic field,,,,,,,,,,
# inferior Planets,,2,,,,,,11.67,Mag field strngth at radius of 10000 km (uT),,,,,,,,,,
Mean Planetary Density (g/cm3):,,,,6.18,,,,,,,,,,,,,,,
Planetary Diameter (km):,,,,10954,,5477,radius in km,4.680598680137858,Land Horizon (km),10.466140644994157,Nautical Horizon (km),,,,,,,,
Axial Tilt Excursion,,3.0225777188372196,Axial Tilt,31.6,degrees,,,419.6782657042248,km Lithosphere thickness,,,,,,,,,,
Mean Atmospheric Pressure,,,,1.15,atmosphere,116494.99999999999,Pa,108.15649421745798,km Mesophere (Mesopause ht),,,,,,,,,,
Comp,O2 %,0.1861,,10.763399907631086,Max Mtn (km),21679.719499999996,Pa,60.086941231921095,km Stratosphere (Stratopause ht),,,,,,,,,,
,N2 %,0.75984,,10644.903207458738,Roche Lmt (km),88517.56079999998,Pa,21.631298843491596,km Tropopause,,,,,,,,,,
,CO2 %,0.00044,,12,hexes/edge,51.257799999999996,Pa,16.824343544937907,km Troposphere,,,,,,,,,,
,Ne %,0.02154,,1442,Total Hexes,2509.3023,Pa,4577.663840521354,km Proton Van Allen,,24954188541.083805,belt radiation (rads/Eday),,,,,,,
,Ar %,0.01612,,980.5600000000001,Ocean Hexes,1877.8993999999996,Pa,6866.286713933173,km Interstellar Nuclei Van Allen,,60263202853.306496,belt radiation (rads/Eday),,,,,,,
,Other %,0.015959999999999974,,461.43999999999994,Land Hexes,1859.2601999999968,Pa,18309.701777622646,km Electron Van Allen,,70581103745.63202,belt radiation (millirads/Eday),,,,,,,
,cloud cover,0.5,,,,,,94681.13575962913,km Magnetopause,,4551319.344988119,space radiation (millirads/Eday),,,,,,,
Planetary Surface Gravity:,,,,0.95694669792,of Earth's Gravity,,,9.345182596875,meters per sec per sec,,,,,,,,,,
Planetary Mass:,,,,4250941051313507742515200,kg,,,0.7113355172880702,% of Earth's Mass,,,,,,,,,,
Planetary Surface Area:,,,,376768964.24,sqkm,,,0.737422614642034,% of Earth's Surface Area,,,,,,,,,,
Hydrosphere %,,0.68,,120566068.55679998,sqkm land,256202895.68320003,sqkm water,0.975719633955055,% of Earth's Land Area,,,,,,,,,,
,,,,102367130.16616875,,,,,,,,,,,,,,,
Escape Velocity:,,,,10.117664264353149,km/sec,Orbital Velocity in Hexes/hour,,43.26982320693512,(1.5 is airliner speed),,,,,,,,,,
500 km Orbit Velocity,,,,6.912112333376218,km/sec,Optimum DV to Orbit,,7.570810611428035,km/sec,,,,,,,,,,
Equatorial Rotational Velocity,,,,0.5606362917467661,km/sec,Add'l Energy Lost for Drag,,1.2173614293587214,km/sec,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Number of Tethers,,0,,30028.01065255192,Geostationary Orbit Height (km),,Delta-v (LO to moon),,7.216575741862421e-11,km/sec,1.3121046803386218e-10,hexes (0.55 kips orbitals) (to and from highest orbit),,,,,,,
Launch Site Lat.,,36,degrees,0.4535642876864849,,,Moon Slingshot (orbitals/slingshot),,0.6611561400544216,,,,,,,,,,
,,,,85.87343749320266,Orbital Energy Units,1,Moon avg dist from planet (km),,384410,,,,,,,,,,
Cost to Orbit in dollars per tonne,,,,5152.40624959216,Lasers,60,Mean Moon Density (g/cm3):,,3.34,,,,,,,,,,
,,,,7728.609374388239,NERVA,90,Moon Diameter (km):,,3475,,,,,,,,,,
,,,,21468.359373300664,O2/BeH2,250,Moon Mass (kg):,,73348171417708325240832,,,,,,,,,,
,,,,47659.757808727474,O2/H2,555,Solar Tides (meters):,,0.1514158185167581,,,,,,,,,,
,,,,,,,Lunar Tides (meters):,,0.07802410479042102,,,,,,,,,,
Number of Tethers,,0,,,,,"Total Tides, meters (Earth = .39):",,0.2294399233071791,,,,,,,,,,
Launch Site Lat.,,21,degrees,0.5233990683587555,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cost to Orbit in dollars per tonne,,,,5152.40624959216,Lasers,60,,,,,,,,,,,,,
,,,,7728.609374388239,NERVA,90,,,,,,,,,,,,,
,,,,21468.359373300664,O2/BeH2,250,,,,,,,,,,,,,
,,,,47659.757808727474,O2/H2,555,,,,,,,,,,,,,
WAR MODE,,,,CRUISE MODE (with crossed-field accelerator),,,,,,,,,,,,,,,
atomic mass of propellent,,61,"(h =1, water = 6,UTB=558, 10-90 UTB-water = 61)",atomic mass of propellent,,6,,,,,,,,,,,,,
Max exit vel (km/sec) monatomic hydrogen,,63.686641566745074,,Exit vel (km/sec) from nuclear rocket,,203.06619904073756,TRAVEL FROM EMBARK PT TO PLANET,,,,,,,,,,,,
Wet mass (tonnes),,60000,  ,Wet mass (tonnes),,60000,Embark orbit (AU),,1.52,AU,,HOHMANN,,,CRUISE,,,BRACHISTOCHRONE,
