Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Enter your data into the blue blocks.,,,,,,,,,,,,,,,,,,,
Primary Name:,,Alpha Centauri B,,,Spectral Class,K1V,Temperature,5000,,,,,,,,,,,
Colony Name,,Olympia,,,Colony Founding Date:,2108-10-06 00:00:00,Small Flare,100000000000000000000,Joules,0.0629079185342455,Rads/pulse @ orbital dist,,,,,,,,
,,,,,,,Big 4B Flare,99999999999999991611392,Joules,62.90791853424549,Rads/pulse @ orbital dist,,,,,,,,
Primary Mass,,,0.85,1691499999999999909363640696832,kg,,,,,,,,,,,,,,
Mean Orbital Distance (AU's):,,,0.75,Secondary Luminosity,,1.61,,,,,,,,,,,,,
Stellar Luminosity (Bolometric),,,0.53,Secondary Apastron Distance.,,11,Add'l Instellation,,0.013305785123966943,0.743175,,,,,,,,,
Stellar Diameter (km),,,1167773.3068999308,Secondary Periastron Distance.,,10.5,Add'l Instellation,,0.014603174603174604,,,,,,,,,,
Orbital Eccentricity,,,0.0091,Average Instellation,,0.9561930874541062,Intellation at Periastron,,0.97356209558527,Instellation at Apoastron,,0.939259525739993,,,,,,,
Surf magnetic field (uT) avg photosphere,,,150,Sol=0.52 deg,Apparent Size,0.5947858709810314,Degrees,Apparent Size,0.6020912447506729,Degrees,Apparent Size,0.5876556491052214,Degrees,,0.7568250000000001,,,,
,,,0.4963235294117647,0.7045023274707932,,,,,,,,,,,,,,,
Length of Local Year in Earth Years:,,,,0.7045023274707932,,,,,,,,,,,,,,,
Blackbody Temp (K),231.2971319206637,degrees Kelvin,,0.7045023274707932,As a % of Earth's Year,,,,,,,,,,,,,,
Surf Temp,304.96568941291076,degrees Kelvin,,257.31877060637976,# of Earth Days in Local Year,,,,,,,,,,,,,,
,31.815689412910785,degrees Celcius,,or,,7.650494553114186,,39.02967318685114,,1.7803912110684905,,,,,,,,,
,89.26824094323942,degrees Farenheit,,257,days,7,hours,39,minutes,1.7803912110684905,seconds,,,,,,,,
Albedo:,0.32,,,,,,,,,,,,,,,,,,
Local Day:,34,hours,,180.28025867768838,Local days in Local Year,,,,,,,,,,,,,,
,15,minutes,,or,,9.52879504140492,,31.72770248429515,,43.66214905770903,,,,,,,,,
,21,seconds,,180,days,9,hours,31,minutes,43.66214905770903,seconds,,,,,,,,
# Moons:,1,,,,,,,,,,,,,,,,,,
Solar Storm intensity,11,"1= calm, 10 = intense, ",in transit,123321,seconds/day ,1.427326388888889,Earth Days,1.007980447234626,Siderial Days,,,,,,,,,,
