Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Enter your data into the blue blocks.,,,,,,,,,,,,,,,,,,,
Primary Name:,,41 Arae A,,,Spectral Class,G8V,Temperature,5400,,,,,,,,,,,
Colony Name,,Refuge,,,Colony Founding Date:,2142-03-09 00:00:00,Small Flare,10000000000000000000,Joules,0.009205438130986756,Rads/pulse @ orbital dist,,,,,,,,
,,,,,,,Big 4B Flare,10000000000000000000000,Joules,9.205438130986757,Rads/pulse @ orbital dist,,,,,,,,
Primary Mass,,,0.83,1651699999999999891627439030272,kg,,,,,,,,,,,,,,
Mean Orbital Distance (AU's):,,,0.62,Secondary Luminosity,,0.05,,,,,,,,,,,,,
Stellar Luminosity (Bolometric),,,0.47,Secondary Apastron Distance.,,240,Add'l Instellation,,8.680555555555556e-07,0.5442980000000001,,,,,,,,,
Stellar Diameter (km),,,1018229.7516962313,Secondary Periastron Distance.,,240,Add'l Instellation,,8.680555555555556e-07,,,,,,,,,,
Orbital Eccentricity,,,0.1221,Average Instellation,,1.2291140327740802,Intellation at Periastron,,1.5864435324530062,Instellation at Apoastron,,0.9710726945346771,,,,,,,
Surf magnetic field (uT) avg photosphere,,,130,Sol=0.52 deg,Apparent Size,0.6273609115289683,Degrees,Apparent Size,0.7812086064429812,Degrees,Apparent Size,0.5241392873574455,Degrees,,0.695702,,,,
,,,0.28714216867469883,0.5358564814152189,,,,,,,,,,,,,,,
Length of Local Year in Earth Years:,,,,0.5358564814152189,,,,,,,,,,,,,,,
Blackbody Temp (K),243.2964956327864,degrees Kelvin,,0.5358564814152189,As a % of Earth's Year,,,,,,,,,,,,,,
Surf Temp,296.4476901044804,degrees Kelvin,,195.7210439804273,# of Earth Days in Local Year,,,,,,,,,,,,,,
,23.29769010448041,degrees Celcius,,or,,17.30505553025546,,18.30333181532751,,18.199908919650625,,,,,,,,,
,73.93584218806474,degrees Farenheit,,195,days,17,hours,18,minutes,18.199908919650625,seconds,,,,,,,,
Albedo:,0.45,,,,,,,,,,,,,,,,,,
Local Day:,29,hours,,161.72663038713208,Local days in Local Year,,,,,,,,,,,,,,
,2,minutes,,or,,21.0722812268302,,4.33687360981196,,20.212416588717588,,,,,,,,,
,41,seconds,,161,days,21,hours,4,minutes,20.212416588717588,seconds,,,,,,,,
# Moons:,0,,,,,,,,,,,,,,,,,,
Solar Storm intensity,11,"1= calm, 10 = intense, ",10mya,104561,seconds/day ,1.2101967592592593,Earth Days,1.0075393947641826,Siderial Days,,,,,,,,,,
Radiation:,48725.90937424398,millirads/Eday,,16910298.199908916,seconds/year,0.8201286400450887,,0.8,(Earth = 1),,,,,,,,,,
Tectonics,active,stalled,,3,Weeks from the planet to the hyperspace terminus,,,2,# of poles of magnetic field,,,,,,,,,,
# inferior Planets,,0,,,,,,6.224,Mag field strngth at radius of 10000 km (uT),,,,,,,,,,
Mean Planetary Density (g/cm3):,,,,5.12,,,,,,,,,,,,,,,
Planetary Diameter (km):,,,,14613,,7306.5,radius in km,5.4061080274517685,Land Horizon (km),12.088428351294265,Nautical Horizon (km),,,,,,,,
Axial Tilt Excursion,,0.3619962602623624,Axial Tilt,44.8,degrees,,,55.15338747560058,km Lithosphere thickness,,,,,,,,,,
