Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Enter your data into the blue blocks.,,,,,,,,,,,,,,,,,,,
Primary Name:,,107 Piscium,,,Spectral Class,K1V,Temperature,5000,,,,,,,,,,,
Colony Name,,Schwarzvaal,,,Colony Founding Date:,2175-02-15 00:00:00,Small Flare,100000000000000000000,Joules,0.061263338254004665,Rads/pulse @ orbital dist,,,,,,,,
,,,,,,,Big 4B Flare,99999999999999991611392,Joules,61.26333825400466,Rads/pulse @ orbital dist,,,,,,,,
Primary Mass,,,0.78,1552200000000000128761911574528,kg,,,,,,,,,,,,,,
Mean Orbital Distance (AU's):,,,0.76,Secondary Luminosity,,0,,,,,,,,,,,,,
Stellar Luminosity (Bolometric),,,0.51,Secondary Apastron Distance.,,1,Add'l Instellation,,0,0.7507735999999999,,,,,,,,,
Stellar Diameter (km),,,1145527.9685088443,Secondary Periastron Distance.,,1,Add'l Instellation,,0,,,,,,,,,,
Orbital Eccentricity,,,0.01214,Average Instellation,,0.8829957842971309,Intellation at Periastron,,0.9047991636748708,Instellation at Apoastron,,0.8619097912674214,,,,,,,
Surf magnetic field (uT) avg photosphere,,,150,Sol=0.52 deg,Apparent Size,0.5757785315399717,Degrees,Apparent Size,0.585125135680981,Degrees,Apparent Size,0.5667258320646236,Degrees,,0.7692264000000001,,,,
,,,0.5627897435897437,0.7501931375250934,,,,,,,,,,,,,,,
Length of Local Year in Earth Years:,,,,0.7501931375250934,,,,,,,,,,,,,,,
Blackbody Temp (K),227.5713887235897,degrees Kelvin,,0.7501931375250934,As a % of Earth's Year,,,,,,,,,,,,,,
Surf Temp,272.2415983476032,degrees Kelvin,,274.0072932879029,# of Earth Days in Local Year,,,,,,,,,,,,,,
,-0.9084016523967762,degrees Celcius,,or,,0.17503890966918334,,10.502334580151,,30.140074809060025,,,,,,,,,
,30.364877025685804,degrees Fahrenheit,,274,days,0,hours,10,minutes,30.140074809060025,seconds,,,,,,,,
Albedo:,0.32,,,,,,,,,,,,,,,,,,
Local Day:,31,hours,,207.96604039174267,Local days in Local Year,,,,,,,,,,,,,,
,37,minutes,,or,,29.947252144022656,,56.83512864135935,,50.10771848156082,,,,,,,,,
,17,seconds,,207,days,29,hours,56,minutes,50.10771848156082,seconds,,,,,,,,
# Moons:,0,,,,,,,,,,,,,,,,,,
Solar Storm intensity,11,"1= calm, 10 = intense, ",,113836.99999999999,seconds/day ,1.3175578703703703,Earth Days,1.0063758410141441,Siderial Days,,,,,,,,,,
Radiation:,81394.64246995989,millirads/Eday,,23674230.14007481,seconds/year,0.7541714676340536,,0.2,(Earth = 1),,,,,,,,,,
Tectonics,inactive,,,5,Weeks from the planet to the hyperspace terminus,,,2,# of poles of magnetic field,,,,,,,,,,
# inferior Planets,,0,,,,,,1.556,Mag field strngth at radius of 10000 km (uT),,,,,,,,,,
Mean Planetary Density (g/cm3):,,,,5.32,,,,,,,,,,,,,,,
