Planetary Parameters,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Enter your data into the blue blocks.,,,,,,,,,,,,,,,,,,,
Primary Name:,,Zeta Tucanae,,,Spectral Class,F9V,Temperature,6300,,,,,,,,,,,
Colony Name,,Xing Cheng,,,Colony Founding Date:,2182-03-29 00:00:00,Small Flare,10000000000000000905969664,Joules,2978.343925217835,Rads/pulse @ orbital dist,,,,,,,,
,,,,,,,Big 4B Flare,10000000000000001782142992384,Joules,2978343.925217835,Rads/pulse @ orbital dist,,,,,,,,
Primary Mass,,,1.02,2029800000000000060121354862592,kg,,,,,,,,,,,,,,
Mean Orbital Distance (AU's):,,,1.09,Secondary Luminosity,,0,,,,,,,,,,,,,
Stellar Luminosity (Bolometric),,,1.24,Secondary Apastron Distance.,,1,Add'l Instellation,,0,1.052831,,,,,,,,,
Stellar Diameter (km),,,1417623.5085462104,Secondary Periastron Distance.,,1,Add'l Instellation,,0,,,,,,,,,,
Orbital Eccentricity,,,0.0341,Average Instellation,,1.0440251680041992,Intellation at Periastron,,1.1186760934774391,Instellation at Apoastron,,0.9759860562670347,,,,,,,
Surf magnetic field (uT) avg photosphere,,,180,Sol=0.52 deg,Apparent Size,0.49681851400426824,Degrees,Apparent Size,0.5128631312289539,Degrees,Apparent Size,0.48174733588172963,Degrees,,1.127169,,,,
,,,1.2696362745098042,1.1267813783116067,,,,,,,,,,,,,,,
Length of Local Year in Earth Years:,,,,1.1267813783116067,,,,,,,,,,,,,,,
Blackbody Temp (K),262.3476160096211,degrees Kelvin,,1.1267813783116067,As a % of Earth's Year,,,,,,,,,,,,,,
Surf Temp,301.6927109795609,degrees Kelvin,,411.5557716469361,# of Earth Days in Local Year,,,,,,,,,,,,,,
,28.542710979560923,degrees Celcius,,or,,13.338519526465916,,20.31117158795496,,18.670295277297555,,,,,,,,,
,83.37687976320966,degrees Farenheit,,411,days,13,hours,20,minutes,18.670295277297555,seconds,,,,,,,,
Albedo:,0.36,,,,,,,,,,,,,,,,,,
Local Day:,29,hours,,334.44398256501796,Local days in Local Year,,,,,,,,,,,,,,
,32,minutes,,or,,12.87549438552088,,52.529663131252846,,31.77978787517077,,,,,,,,,
,1,seconds,,334,days,12,hours,52,minutes,31.77978787517077,seconds,,,,,,,,
# Moons:,1,,,,,,,,,,,,,,,,,,
Solar Storm intensity,11,"1= calm, 10 = intense, ",,106321,seconds/day ,1.2305671296296297,Earth Days,1.003693029970062,Siderial Days,,,,,,,,,,
Radiation:,21762.758089260227,millirads/Eday,,35558418.670295276,seconds/year,0.8096434028903481,,1.1,(Earth = 1),,,,,,,,,,
Tectonics,active,,,14,Weeks from the planet to the hyperspace terminus,,,2,# of poles of magnetic field,,,,,,,,,,
# inferior Planets,,1,,,,,,8.558000000000002,Mag field strngth at radius of 10000 km (uT),,,,,,,,,,
Mean Planetary Density (g/cm3):,,,,4.94,,,,,,,,,,,,,,,
Planetary Diameter (km):,,,,13854,,6927,radius in km,5.263839283759841,Land Horizon (km),11.770305858421807,Nautical Horizon (km),,,,,,,,
Axial Tilt Excursion,,7.444899996856043,Axial Tilt,18.6,degrees,,,99.23823617567885,km Lithosphere thickness,,,,,,,,,,
Mean Atmospheric Pressure,,,,0.81,atmosphere,82053,Pa,75.35270715611256,km Mesophere (Mesopause ht),,,,,,,,,,
Comp,O2 %,0.28612,,10.646541614649648,Max Mtn (km),23477.00436,Pa,41.8626150867292,km Stratosphere (Stratopause ht),,,,,,,,,,
,N2 %,0.71,,12010.491568429657,Roche Lmt (km),58257.63,Pa,15.070541431222512,km Tropopause,,,,,,,,,,
,CO2 %,0.000765,,15,hexes/edge,62.770545,Pa,11.721532224284175,km Troposphere,,,,,,,,,,
,Ne %,9e-05,,2252,Total Hexes,7.3847700000000005,Pa,4128.044948416287,km Proton Van Allen,,1783996509.083772,belt radiation (rads/Eday),,,,,,,
,Ar %,0.000812,,1824.1200000000001,Ocean Hexes,66.627036,Pa,6191.8789083913025,km Interstellar Nuclei Van Allen,,3405600930.4945774,belt radiation (rads/Eday),,,,,,,
,Other %,0.0022130000000000205,,427.8799999999999,Land Hexes,181.58328900000168,Pa,16511.31987042448,km Electron Van Allen,,24128315078.749847,belt radiation (millirads/Eday),,,,,,,
,cloud cover,0.55,,,,,,72964.34973212864,km Magnetopause,,4540799.186204028,space radiation (millirads/Eday),,,,,,,
Planetary Surface Gravity:,,,,0.9674503113600001,of Earth's Gravity,,,9.447756946875002,meters per sec per sec,,,,,,,,,,
Planetary Mass:,,,,6874338231691071958548480,kg,,,1.1503243359590147,% of Earth's Mass,,,,,,,,,,
Planetary Surface Area:,,,,602670612.24,sqkm,,,1.1795635543983949,% of Earth's Surface Area,,,,,,,,,,
Hydrosphere %,,0.81,,114507416.32559997,sqkm land,488163195.91440004,sqkm water,0.9266880448184941,% of Earth's Land Area,,,,,,,,,,
,,,,130889224.74200627,,,,,,,,,,,,,,,
Escape Velocity:,,,,11.440682879181919,km/sec,Orbital Velocity in Hexes/hour,,49.36202227722318,(1.5 is airliner speed),,,,,,,,,,
500 km Orbit Velocity,,,,7.885307073038847,km/sec,Optimum DV to Orbit,,8.462527373636396,km/sec,,,,,,,,,,
Equatorial Rotational Velocity,,,,0.40936021914767545,km/sec,Add'l Energy Lost for Drag,,0.8481365816571336,km/sec,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Number of Tethers,,0,,52296.79082626603,Geostationary Orbit Height (km),,Delta-v (LO to moon),,1.3871064832684086,km/sec,2.522011787760743,hexes (0.55 kips orbitals) (to and from highest orbit),,,,,,,
Launch Site Lat.,,31,degrees,0.3508901940616381,,,Moon Slingshot (orbitals/slingshot),,0.043691617578231284,,,,,,,,,,
,,,,99.95943476027422,Orbital Energy Units,1,Moon avg dist from planet (km),,238200,,,,,,,,,,
Cost to Orbit in dollars per tonne,,,,5997.566085616453,Lasers,60,Mean Moon Density (g/cm3):,,1.3,,,,,,,,,,
,,,,8996.34912842468,NERVA,90,Moon Diameter (km):,,590,,,,,,,,,,
,,,,24989.858690068555,O2/BeH2,250,Moon Mass (kg):,,139726179666666651648,,,,,,,,,,
,,,,55477.48629195219,O2/H2,555,Solar Tides (meters):,,0.10455108058069226,,,,,,,,,,
WAR MODE,,,,CRUISE MODE (with crossed-field accelerator),,,Lunar Tides (meters):,,0.002327453763089605,,,,,,,,,,
atomic mass of propellent,,61,"(h =1, water = 6,UTB=558, 10-90 UTB-water = 61)",atomic mass of propellent,,6,"Total Tides, meters (Earth = .39):",,0.10687853434378186,,,,,,,,,,
Max exit vel (km/sec) monatomic hydrogen,,63.686641566745074,,Exit vel (km/sec) from nuclear rocket,,203.06619904073756,TRAVEL FROM EMBARK PT TO PLANET,,,,,,,,,,,,
